Row Labels,Abies balsamea,Acer ginnala,Acer negundo,Acer platanoides,Acer saccharum,Achillea millefolium,Actaea pachypoda,Actaea rubra,Agastache foeniculum,Ageratina altissima,Agrimonia striata,Agrostis scabra,Alliaria petiolata,Allium tricoccum,Ambrosia artemisiifolia,Amorpha canescens,Amphicarpaea bracteata,Anaphalis margaritacea,Andropogon gerardii,Anemone cylindrica,Anemone quinquefolia,Antennaria neglecta s.s.,Antennaria spp.,Aquilegia canadensis,Aralia nudicaulis,Arctium minus,Arisaema triphyllum,Asclepias incarnata,Asclepias ovalifolia,Asclepias syriaca,Asclepias tuberosa,Asclepias verticillata,Asclepias viridiflora,Athyrium filix-femina,Betula papyrifera,Boehmeria cylindrica,Botrychium oneidense,Bouteloua curtipendula,Bouteloua curtipendula var. curtipendula,Bouteloua hirsuta,Bromus inermis,Bromus spp.,Campanula rotundifolia,Carex blanda,Carex pensylvanica,Carex rosea,Carex spp.,Carex sprengelii,Carex tribuloides,Carex vulpinoidea,Caulophyllum thalictroides,Celtis occidentalis,Chelone glabra,Chenopodium album s.s.,Circaea lutetiana,Circaea lutetiana var. canadensis,Cirsium arvense,Cirsium discolor,Conyza canadensis,Cornus racemosa,Cornus sericea,Corylus americana,Crataegus spp.,Crotalaria sagittalis,Cryptotaenia canadensis,Dalea purpurea,Desmodium canadense,Desmodium glutinosum,Desmodium nudiflorum,Desmodium spp.,Dichanthelium oligosanthes,Dichanthelium oligosanthes ssp. scribnerianum,Dichanthelium spp.,Diervilla lonicera,Digitaria cognata,Digitaria spp.,Dryopteris carthusiana,Echinocystis lobata,Elymus canadensis,Elymus repens,Elymus virginicus,Equisetum fluviatile,Equisetum spp.,Eragrostis spectabilis,Erigeron annuus,Erigeron strigosus,Eriochloa villosa,Euonymus alatus,Eupatorium perfoliatum,Eutrochium maculatum,Eutrochium purpureum,Fragaria vesca,Fragaria virginiana,Frangula alnus,Fraxinus nigra,Fraxinus pennsylvanica,Galium aparine,Galium asprellum,Galium spp.,Galium triflorum,Gentiana andrewsii,Geranium maculatum,Geum aleppicum,Geum canadense,Geum laciniatum,Geum macrophyllum,Geum spp.,Hackelia virginiana,Helianthus annuus,Helianthus grosseserratus,Helianthus spp.,Hesperis matronalis,Hydrophyllum virginianum,Impatiens capensis,Impatiens spp.,Juglans nigra,Juncus spp.,Juncus tenuis,Juniperus virginiana,Juniperus virginiana var. virginiana,Lactuca canadensis,Lactuca serriola,Laportea canadensis,Leersia oryzoides,Leersia virginica,Leonurus cardiaca,Lespedeza capitata,Lespedeza leptostachya,Linaria vulgaris,Linum sulcatum,Liparis liliifolia,Lobelia siphilitica,Lonicera spp.,Lonicera tatarica,Lycopus virginicus,Maianthemum canadense,Maianthemum racemosum,Maianthemum spp.,Maianthemum trifolium,Melilotus alba,Menispermum canadense,Monarda fistulosa,Muhlenbergia richardsonis,Myosoton aquaticum,Onoclea sensibilis,Osmorhiza claytonii,Osmorhiza longistylis,Ostrya virginiana,Oxalis stricta,Panicum spp.,Panicum virgatum,Parthenocissus quinquefolia,Parthenocissus spp.,Parthenocissus vitacea,Pedicularis lanceolata,Persicaria minor,Persicaria sagittata,Phryma leptostachya,Physalis virginiana,Pilea pumila,Plantago major,Poa pratensis,Poa spp.,Polygonatum biflorum,Populus deltoides,Populus grandidentata,Populus tremuloides,Potentilla arguta,Potentilla norvegica,Potentilla recta,Potentilla simplex,Potentilla spp.,Prunus serotina,Prunus virginiana,Pycnanthemum virginianum,Pyrola elliptica,Quercus alba,Quercus ellipsoidalis,Quercus macrocarpa,Quercus rubra,Ranunculus abortivus,Ranunculus hispidus,Ranunculus spp.,Rhamnus cathartica,Rhus glabra,Ribes cynosbati,Ribes spp.,Rubus allegheniensis s.s.,Rubus idaeus,Rubus occidentalis,Rubus pubescens,Rubus spp.,Rudbeckia hirta,Rudbeckia laciniata,Rudbeckia triloba,Rumex acetosa,Rumex acetosella,Rumex spp.,Salix petiolaris,Salix spp.,Sambucus canadensis,Sambucus racemosa,Sanguinaria canadensis,Sanicula canadensis,Sanicula gregaria,Sanicula spp.,Schizachyrium scoparium,Scirpus pallidus,Scutellaria leonardii,Setaria pumila,Silene latifolia,Smilax ecirrhata,Smilax herbacea,Smilax spp.,Solanum dulcamara,Solidago canadensis s.s.,Solidago flexicaulis,Solidago gigantea,Solidago nemoralis,Solidago speciosa,Sorghastrum nutans,Spartina pectinata,Sporobolus heterolepis,Symphyotrichum cordifolium,Symphyotrichum ericoides,Symphyotrichum lanceolatum,Symphyotrichum lateriflorum,Symphyotrichum novae-angliae,Symphyotrichum oolentangiense,Symphyotrichum sericeum,Symphyotrichum spp.,Symphyotrichum urophyllum,Taraxacum officinale,Teucrium canadense,Thalictrum dioicum,Thalictrum thalictroides,Tilia americana,Torilis japonica,Toxicodendron rydbergii,Tragopogon dubius,Trifolium hybridum,Trillium cernuum,Trillium grandiflorum,Trillium spp.,Ulmus americana,Ulmus pumila,Unknown,Urtica dioica,Uvularia grandiflora,Uvularia sessilifolia,Verbascum thapsus,Verbena hastata,Verbena stricta,Verbena urticifolia,Viburnum lentago,Viburnum opulus s.l.,Viburnum rafinesquianum,Viola nephrophylla,Viola palmata,Viola palmata var. pedatifida,Viola pedata,Viola pubescens,Viola sororia s.l.,Viola spp.,Vitis riparia,Zanthoxylum americanum,Zizia aurea
LHDL22016,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,3,3,0,3,0,0,0,0.5,0,0,3,87.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0.5,0.5,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,3,0
LHDL22018,0,0.5,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0.5,3,0,0,0,0,3,0,3,0,0,0.5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0.5,0,0,0,3,0,0,0,0,0,15,0,3,0,0,0,15,3,0,3,0,0,0,15,0,0,0,87.5,0,0,15,0,0,15,3,0,3,0.5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,15,0,0,0,0,0,3,0,0,0,0,0,0,0.5,0,0,0,0,3,0,0,0,0,0,0,0,15,3,0
LHDL32016,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,3,0,0,0,87.5,0,0,15,37.5,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
LHDL32018,0,0.5,3,0.5,0,0,0.5,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,15,37.5,0,15,0,0,0,37.5,0,3,0,3,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0
LHDL42016,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,3,0,0,3,0,0,0,87.5,0,0,0,15,0,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,15,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
LHDL42018,0,3,15,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,37.5,37.5,0,0,0,0,0,15,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0.5,0,3,0,0,0,0,0,0,0,0.5,3,0,0
LHJL2015,0,0,3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3,0,0,0,3,0,0,0.5,0,0,15,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
LHJL2016,0,0,15,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,15,0,3,0,0,0,0,0,0,0,0,0,37.5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0.5,2,0,3,3,0,0,62.5,0,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
LHJL2017,0,0,3,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3,0,0,0.5,1,0,0.5,0.5,0,0,37.5,0,3,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0
LHJL2018,0,0,15,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0.5,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,3,0,0,3,0,0,37.5,0,0,0.5,15,0,3,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
