"","scientific_name","common_name","x3","physiognamy","mn_nativity","mnwi","rarity_status","id","cc","cc_range","x12","midpoint_cc","p","p_c","releveCode","releveyear","releveSite"
"1","Quercus macrocarpa","bur oak",5,"D","Native","[FAC-]","0",NA,4,">50-75%",62.5,62.5,0.379939209726444,1.89969604863222,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"2","Prunus serotina","black cherry",4,"D","Native","[FACU]","0",NA,2,">5-25%",15,15,0.0911854103343465,0.364741641337386,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"3","Rhamnus cathartica","common buckthorn",0,"D","Introduced","FACU","0",NA,2,">5-25%",15,15,0.0911854103343465,0,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"4","Exotic honeysuckle spp.",NA,NA,NA,NA,NA,NA,NA,2,">5-25%",15,15,0.0911854103343465,NA,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"5","Sambucus sp.",NA,NA,NA,NA,NA,NA,NA,NA,">1-5%",3,3,0.0182370820668693,NA,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"6","Rubus occidentalis","black raspberry",2,"D","Native","NA","0",NA,2,">5-25%",15,15,0.0911854103343465,0.182370820668693,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"7","Zanthoxylum americanum","prickly ash",3,"D","Native","FACU","0",NA,NA,">1-5%",3,3,0.0182370820668693,0.0547112462006079,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"8","Tilia americana","basswood",3,"C","Native","[FACU]","0",NA,NA,">1-5%",3,3,0.0182370820668693,0.0547112462006079,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"9","Celtis occidentalis","hackberry",3,"D","Native","[FAC-]","0",NA,NA,">1-5%",3,3,0.0182370820668693,0.0547112462006079,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"10","Morus alba","white mulberry",0,"D","Introduced","FAC","0",NA,1,">1-5%",3,3,0.0182370820668693,0,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"11","Ribes sp.",NA,NA,NA,NA,NA,NA,NA,NA,">1-5%",3,3,0.0182370820668693,NA,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"12","Fraxinus pennsylvanica","green ash",2,"D","Native","FACW","0",NA,NA,">1-5%",3,3,0.0182370820668693,0.0364741641337386,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"13","Parthenocissus sp.",NA,NA,NA,NA,NA,NA,NA,2,">5-25%",15,15,0.0911854103343465,NA,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"14","Vitis riparia","wild grape",2,"C","Native","FACW-","0",NA,NA,">1-5%",3,3,0.0182370820668693,0.0364741641337386,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"15","Celastrus orbiculatus","Asian bittersweet",0,"C","Introduced","UPL","0",NA,NA,">1-5%",3,3,0.0182370820668693,0,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"16","Ageratina altissima","white snakeroot",1,"H","Native","FACU","0",NA,3,">25-50%",37.5,37.5,0.183823529411765,0.183823529411765,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"17","Hackelia virginiana","Virginia stickseed",1,"H","Native","FAC-","0",NA,2,">5-25%",15,15,0.0735294117647059,0.0735294117647059,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"18","Geum spp.",NA,2,"H","Native",NA,"0",NA,NA,">1-5%",3,3,0.0147058823529412,0.0294117647058824,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"19","Galium triflorum",NA,0,"H","Native","FACU+","0",NA,1,">1-5%",3,3,0.0147058823529412,0,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"20","Verbena urticifolia","white vervain",6,"H","Native","FAC+","0",NA,2,">5-25%",15,15,0.0735294117647059,0.441176470588235,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"21","Viola spp.",NA,4,"H","Native",NA,"0",NA,NA,">1-5%",3,3,0.0147058823529412,0.0588235294117647,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"22","Circaea lutetiana","common enchanter's nightshade",2,"H","Native","[FACU]","0",NA,1,">1-5%",3,3,0.0147058823529412,0.0294117647058824,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"23","Plantago rugelii","Rugel's plantain",0,"H","Native","[FAC]","0",NA,NA,">1-5%",3,3,0.0147058823529412,0,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"24","Oxalis stricta","yellow wood sorrel",0,"H","Native","[FACU]","0",NA,NA,">1-5%",3,3,0.0147058823529412,0,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"25","Solidago altissima","late goldenrod",1,"H","Native","FACU","0",NA,1,">1-5%",3,3,0.0147058823529412,0.0147058823529412,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"26","Symphyotrichum lanceolatum","panicled aster",5,"H","Native","[FACW]","0",NA,NA,">1-5%",3,3,0.0147058823529412,0.0735294117647059,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"27","Centaurea stoebe",NA,0,"H","Introduced","NA","0",NA,NA,">0-1%",0.5,0.5,0.00245098039215686,0,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"28","Maianthemum racemosum",NA,5,"H","Native","FACU","0",NA,1,">1-5%",3,3,0.0147058823529412,0.0735294117647059,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"29","Chenopodium album","white lamb's quarters",0,"H","Introduced","FAC-","0",NA,1,">1-5%",3,3,0.0147058823529412,0,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"30","Geranium maculatum","wild geranium",4,"H","Native","FACU","0",NA,NA,">1-5%",3,3,0.0147058823529412,0.0588235294117647,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"31","Cirsium arvense","Canada thistle",0,"H","Introduced","FACU","0",NA,1,">1-5%",3,3,0.0147058823529412,0,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"32","Asclepias syriaca","common milkweed",1,"H","Native","FACU","0",NA,NA,">1-5%",3,3,0.0147058823529412,0.0147058823529412,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"33","Solanum dulcamara","bittersweet nightshade",0,"H","Introduced","[FAC]","0",NA,NA,">1-5%",3,3,0.0147058823529412,0,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"34","Taraxacum officinale","common dandelion",0,"H","Introduced","FACU","0",NA,NA,">1-5%",3,3,0.0147058823529412,0,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"35","Sanicula canadensis","Canadian black snakeroot",5,"H","Native","FACU+","0",NA,NA,">1-5%",3,3,0.0147058823529412,0.0735294117647059,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"36","Erigeron annuus","annual fleabane",0,"H","Native","FAC-","0",NA,NA,">1-5%",3,3,0.0147058823529412,0,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"37","Leonurus cardiaca","common motherwort",0,"H","Introduced","NA","0",NA,1,">1-5%",3,3,0.0147058823529412,0,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"38","Persicaria maculosa","lady's thumb",0,"H","Introduced","FACW","0",NA,NA,">1-5%",3,3,0.0147058823529412,0,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"39","Maianthemum stellatum","starry false Solomon's seal",5,"H","Native","[FAC-]","0",NA,NA,">1-5%",3,3,0.0147058823529412,0.0735294117647059,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"40","Symphyotrichum pilosum","awl aster",1,"H","Native","FACU","W",NA,NA,">1-5%",3,3,0.0147058823529412,0.0147058823529412,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"41","Barbarea vulgaris","yellow rocket",0,"H","Introduced","FAC","0",NA,NA,">1-5%",3,3,0.0147058823529412,0,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"42","Monarda fistulosa","wild bergamot",3,"H","Native","FACU","0",NA,NA,">1-5%",3,3,0.0147058823529412,0.0441176470588235,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"43","Verbascum thapsus","common mullein",0,"H","Introduced","UPL","0",NA,2,">5-25%",15,15,0.0735294117647059,0,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"44","Cirsium vulgare","bull thistle",0,"H","Introduced","FACU-","0",NA,NA,">0-1%",0.5,0.5,0.00245098039215686,0,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"45","Nepeta cataria","catnip",0,"H","Introduced","FAC-","0",NA,1,">1-5%",3,3,0.0147058823529412,0,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"46","Erechtites hieraciifolius",NA,2,"H","Native","NA","0",NA,NA,">1-5%",3,3,0.0147058823529412,0.0294117647058824,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"47","Conyza canadensis","horseweed",0,"H","Native","[FAC-]","0",NA,1,">1-5%",3,3,0.0147058823529412,0,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"48","Phryma leptostachya","lopseed",5,"H","Native","UPL","0",NA,NA,">1-5%",3,3,0.0147058823529412,0.0735294117647059,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"49","Osmorhiza claytonii","Clayton's sweet cicely",3,"H","Native","FACU-","0",NA,NA,">1-5%",3,3,0.0147058823529412,0.0441176470588235,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"50","Osmorhiza longistylis","aniseroot",4,"H","Native","FACU-","0",NA,NA,">1-5%",3,3,0.0147058823529412,0.0588235294117647,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"51","Geum macrophyllum",NA,6,"H","Native","FACW","0",NA,NA,">1-5%",3,3,0.0147058823529412,0.0882352941176471,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"52","Sonchus arvensis s.l.","field sow thistle",0,"H","Introduced","FAC-","0",NA,NA,">0-1%",0.5,0.5,0.00245098039215686,0,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"53","Symphyotrichum ontarionis",NA,6,"H","Native","FAC","0",NA,NA,">1-5%",3,3,0.0147058823529412,0.0882352941176471,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"54","Veronicastrum virginicum","Culver's root",6,"H","Native","FAC","0",NA,NA,">1-5%",3,3,0.0147058823529412,0.0882352941176471,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"55","Silene latifolia","white campion",0,"H","Introduced","NA","0",NA,NA,">1-5%",3,3,0.0147058823529412,0,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"56","Carduus acanthoides","plumeless thistle",0,"H","Introduced","NA","0",NA,NA,">0-1%",0.5,0.5,0.00245098039215686,0,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"57","Arctium minus","common burdock",0,"H","Introduced","FACU","0",NA,NA,">0-1%",0.5,0.5,0.00245098039215686,0,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"58","Securigera varia","crown vetch",0,"H","Introduced",NA,"0",NA,NA,">1-5%",3,3,0.0147058823529412,0,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"59","Cirsium discolor","field thistle",4,"H","Native","FACU","0",NA,NA,">0-1%",0.5,0.5,0.00245098039215686,0.00980392156862745,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"60","Ranunculus abortivus","kidney-leaved buttercup",1,"H","Native","FACW-","0",NA,NA,">1-5%",3,3,0.0147058823529412,0.0147058823529412,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"61","Acalypha rhomboidea","three-seeded mercury",0,"H","Native","FACU","0",NA,NA,">1-5%",3,3,0.0147058823529412,0,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"62","Pycnanthemum virginianum","Virginia mountain mint",6,"H","Native","FACW+","0",NA,NA,">1-5%",3,3,0.0147058823529412,0.0882352941176471,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"63","Potentilla recta","rough-fruited cinquefoil",0,"H","Introduced","NA","0",NA,NA,">0-1%",0.5,0.5,0.00245098039215686,0,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"64","Arisaema triphyllum","Jack-in-the-pulpit",4,"H","Native","FACW-","0",NA,NA,">0-1%",0.5,0.5,0.00245098039215686,0.00980392156862745,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"65","Campanulastrum americanum","tall bellflower",4,"H","Native","FAC","0",NA,NA,">1-5%",3,3,0.0147058823529412,0.0588235294117647,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"66","Smilax tamnoides","greenbrier",4,"C","Native","[FAC]","0",NA,NA,">0-1%",0.5,0.5,0.00245098039215686,0.00980392156862745,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"67","Fallopia convolvulus","black-bindweed",0,"H","Introduced","[FAC-]","0",NA,NA,">1-5%",3,3,0.0147058823529412,0,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"68","Phalaris arundinacea","reed canary grass",0,"G","Introduced","FACW+","0",NA,2,">5-25%",15,15,0.267857142857143,0,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"69","Elymus villosus","downy wild rye",5,"G","Native","FACU","0",NA,1,">1-5%",3,3,0.0535714285714286,0.267857142857143,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"70","Festuca subverticillata","nodding fescue",0,"G","Introduced","[FACU+]","0",NA,NA,">1-5%",3,3,0.0535714285714286,0,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"71","Bromus japonicus","Japenese brome",0,"G","Introduced","FACU","0",NA,NA,">1-5%",3,3,0.0535714285714286,0,"LBRP  Rel 32023","2023","LBRP  Rel 3"
"72","Setaria pumila",NA,0,"G","Introduced","FAC","0",NA,NA,">1-5%",3,3,0.0535714285714286,0,"LBRP  Rel 32023","2023","LBRP  Rel 3"
