"","scientific_name","midpoint_cc","releveSite","releveyear"
"1","Abutilon theophrasti",3,"LBRP R",2024
"2","Acalypha rhomboidea",3,"LBRP  Rel 3",2024
"3","Acalypha rhomboidea",3,"LBRP R",2024
"4","Acalypha rhomboidea",3,"MRPR C",2024
"5","Acalypha rhomboidea",3,"SLPR Rel 2",2024
"6","Acer ginnala",0.5,"LHDL rel 1-6",2024
"7","Acer ginnala",3,"LHPP rel 1",2024
"8","Acer ginnala",3,"LHSP 1-1",2024
"9","Acer ginnala",0.5,"SLCW Releve 1",2024
"10","Acer ginnala",0.5,"WWRP RCG unit 5 rel",2024
"11","Acer ginnala",0.5,"WWRP Rel 3",2024
"12","Acer ginnala",0.5,"WWRP Rel 4",2024
"13","Acer negundo",3,"LBRP  Rel 3",2024
"14","Acer negundo",15,"LBRP R",2024
"15","Acer negundo",3,"LHDL rel 1-6",2024
"16","Acer negundo",0.5,"LHHL 5",2024
"17","Acer negundo",15,"LHHL2 Rel",2024
"18","Acer negundo",15,"LHHL3 Rel",2024
"19","Acer negundo",15,"LHHL4 Rel",2024
"20","Acer negundo",3,"LHJL 1",2024
"21","Acer negundo",3,"LHSP 1-1",2024
"22","Acer negundo",0.5,"MRPR C",2024
"23","Acer negundo",15,"MRPR Rel 2",2024
"24","Acer negundo",37.5,"MRPR TB Rel 2",2024
"25","Acer negundo",62.5,"SLPR 1",2024
"26","Acer negundo",3,"SLPR Rel 2",2024
"27","Acer negundo",3,"South Creek Releve 1",2024
"28","Acer negundo",37.5,"South Creek Releve 2",2024
"29","Acer negundo",0.5,"WWRP RCG unit 5 rel",2024
"30","Acer negundo",15,"WWRP WL Rel",2024
"31","Acer saccharinum",15,"LBRP R",2024
"32","Acer saccharinum",0.5,"LHHL 5",2024
"33","Acer saccharum",3,"LHJL 1",2024
"34","Acer saccharum",0.5,"LHSP 1-1",2024
"35","Acer saccharum",37.5,"MRPR Rel 2",2024
"36","Acer saccharum",37.5,"SLCW Releve 1",2024
"37","Achillea millefolium",3,"LBRP Rel 8",2024
"38","Achillea millefolium",3,"LHDL rel 1-6",2024
"39","Achillea millefolium",3,"LHPP rel 1",2024
"40","Achillea millefolium",3,"LHPP rel 2",2024
"41","Achillea millefolium",3,"MRPR C",2024
"42","Achillea millefolium",0.5,"MRPR Rel 3",2024
"43","Achillea millefolium",3,"TCP Lakeshore Rel 1",2024
"44","Achillea millefolium",3,"WWBW Rel",2024
"45","Achillea millefolium",3,"WWRP Italy Moraine Rel",2024
"46","Achillea millefolium",3,"WWRP RCG unit 5 rel",2024
"47","Achillea millefolium",3,"WWRP Rel 2",2024
"48","Achillea millefolium",3,"WWRP Rel 3",2024
"49","Actaea rubra",3,"LBRP R",2024
"50","Actaea rubra",3,"LHDL rel 1-6",2024
"51","Actaea rubra",3,"LHHL 5",2024
"52","Actaea rubra",0.5,"LHHL1 Rel",2024
"53","Actaea rubra",3,"LHHL2 Rel",2024
"54","Actaea rubra",0.5,"LHJL 1",2024
"55","Actaea rubra",3,"MRPR C",2024
"56","Adiantum pedatum",3,"SLCW Releve 1",2024
"57","Agalinis sp.",3,"LHHL1 Rel",2024
"58","Agastache foeniculum",3,"LHDL rel 1-6",2024
"59","Agastache foeniculum",0.5,"LHDL rel 2-2",2024
"60","Agastache foeniculum",3,"MRPR C",2024
