"scientific_name","midpoint_cc","releveCode"
"Abutilon theophrasti",3,"Southern Floodplain Forest"
"Acalypha rhomboidea",3,"Southern Floodplain Forest"
"Acer ginnala",1,"SOUTHERN WET ASH SWAMP"
"Acer negundo",3,"CENTRAL MESIC HARDWOOD FOREST (EASTERN)"
"Acer negundo",1,"Dry Sand Gravel Prairie Southern"
"Acer negundo",1,"NORTHERN WET MEADOW/CARR, SEDGE MEADOW TYPE"
"Acer negundo",7,"SOUTHERN DRY-MESIC OAK FOREST"
"Acer negundo",3,"SOUTHERN MESIC MAPLE-BASSWOOD FOREST"
"Acer negundo",1,"SOUTHERN MESIC OAK-BASSWOOD FOREST"
"Acer negundo",2,"SOUTHERN MESIC PRAIRIE"
"Acer negundo",2,"SOUTHERN RICH CONIFER SWAMP"
"Acer negundo",6,"SOUTHERN SEEPAGE MEADOW/CARR"
"Acer negundo",6,"SOUTHERN TERRACE FOREST"
"Acer negundo",15,"SOUTHERN WET ASH SWAMP"
"Acer negundo",1,"SOUTHERN WET PRAIRIE"
"Acer negundo",24,"SOUTHERN WET-MESIC HARDWOOD FOREST"
"Acer negundo",26,"Southern Floodplain Forest"
"Acer rubrum",15,"CENTRAL MESIC HARDWOOD FOREST (EASTERN)"
"Acer rubrum",1,"SOUTHERN DRY SAVANNA, DRY SAND-GRAVEL OAK SAVANNA (SOUTHERN) TYPE"
"Acer rubrum",88,"SOUTHERN DRY-MESIC OAK FOREST"
"Acer rubrum",4,"SOUTHERN RICH CONIFER SWAMP"
"Acer rubrum",3,"SOUTHERN SEEPAGE MEADOW/CARR"
"Acer saccharinum",22,"SOUTHERN TERRACE FOREST"
"Acer saccharinum",69,"Southern Floodplain Forest"
"Acer saccharum",38,"CENTRAL MESIC HARDWOOD FOREST (EASTERN)"
"Acer saccharum",9,"SOUTHERN DRY-MESIC OAK FOREST"
"Acer saccharum",59,"SOUTHERN MESIC MAPLE-BASSWOOD FOREST"
"Acer saccharum",42,"SOUTHERN MESIC OAK-BASSWOOD FOREST"
"Acer saccharum",1,"SOUTHERN RICH CONIFER SWAMP"
"Acer saccharum",15,"SOUTHERN TERRACE FOREST"
"Acer saccharum",15,"SOUTHERN WET ASH SWAMP"
"Acer saccharum",39,"SOUTHERN WET-MESIC HARDWOOD FOREST"
"Achillea millefolium",3,"Dry Barrens Oak Savanna (Southern)    UPs14a"
"Achillea millefolium",15,"Dry Barrens Prairie Southern"
"Achillea millefolium",3,"Dry Sand Gravel Prairie Southern"
"Achillea millefolium",2,"SOUTHERN DRY PRAIRIE, DRY BEDROCK BLUFF PRAIRIE (SOUTHERN) TYPE"
"Achillea millefolium",3,"SOUTHERN DRY SAVANNA, DRY SAND-GRAVEL OAK SAVANNA (SOUTHERN) TYPE"
"Achillea millefolium",3,"SOUTHERN MESIC PRAIRIE"
"Achillea millefolium",2,"SOUTHERN WET PRAIRIE"
"Acorus calamus",5,"NORTHERN WET MEADOW/CARR, SEDGE MEADOW TYPE"
"Acorus calamus",3,"SOUTHERN SEEPAGE MEADOW/CARR"
"Actaea rubra",1,"CENTRAL MESIC HARDWOOD FOREST (EASTERN)"
"Actaea rubra",2,"SOUTHERN DRY-MESIC OAK FOREST"
"Actaea rubra",3,"SOUTHERN MESIC MAPLE-BASSWOOD FOREST"
"Actaea rubra",2,"SOUTHERN MESIC OAK-BASSWOOD FOREST"
"Actaea rubra",1,"SOUTHERN RICH CONIFER SWAMP"
"Actaea rubra",5,"SOUTHERN WET-MESIC HARDWOOD FOREST"
"Adiantum pedatum",3,"CENTRAL MESIC HARDWOOD FOREST (EASTERN)"
"Adiantum pedatum",3,"SOUTHERN DRY-MESIC OAK FOREST"
"Adiantum pedatum",3,"SOUTHERN MESIC MAPLE-BASSWOOD FOREST"
"Adiantum pedatum",3,"SOUTHERN MESIC OAK-BASSWOOD FOREST"
"Adiantum pedatum",3,"SOUTHERN WET ASH SWAMP"
"Agalinis tenuifolia",1,"SOUTHERN DRY PRAIRIE, DRY BEDROCK BLUFF PRAIRIE (SOUTHERN) TYPE"
"Agastache foeniculum",3,"Dry Barrens Prairie Southern"
"Agastache foeniculum",1,"SOUTHERN WET PRAIRIE"
"Agrostis gigantea",3,"SOUTHERN SEEPAGE MEADOW/CARR"
"Agrostis gigantea",7,"SOUTHERN WET PRAIRIE"
"Agrostis hyemalis",1,"CENTRAL MESIC HARDWOOD FOREST (EASTERN)"
"Agrostis hyemalis",3,"Dry Barrens Oak Savanna (Southern)    UPs14a"
"Agrostis hyemalis",1,"NORTHERN WET MEADOW/CARR, SEDGE MEADOW TYPE"
"Agrostis hyemalis",3,"SOUTHERN DRY SAVANNA, DRY SAND-GRAVEL OAK SAVANNA (SOUTHERN) TYPE"
"Agrostis hyemalis",3,"SOUTHERN WET PRAIRIE"
"Alisma triviale",2,"NORTHERN WET MEADOW/CARR, SEDGE MEADOW TYPE"
"Alliaria petiolata",3,"SOUTHERN MESIC OAK-BASSWOOD FOREST"
"Alliaria petiolata",5,"SOUTHERN TERRACE FOREST"
"Allium canadense",1,"SOUTHERN MESIC PRAIRIE"
"Allium canadense",3,"SOUTHERN WET-MESIC HARDWOOD FOREST"
"Allium stellatum",4,"Dry Sand Gravel Prairie Southern"
"Allium stellatum",3,"SOUTHERN DRY SAVANNA, DRY SAND-GRAVEL OAK SAVANNA (SOUTHERN) TYPE"
"Allium stellatum",3,"SOUTHERN MESIC PRAIRIE"
"Allium tricoccum",3,"SOUTHERN MESIC MAPLE-BASSWOOD FOREST"
"Allium tricoccum",3,"SOUTHERN MESIC OAK-BASSWOOD FOREST"
"Allium tricoccum",3,"SOUTHERN TERRACE FOREST"
"Allium tricoccum",3,"SOUTHERN WET-MESIC HARDWOOD FOREST"
"Alnus incana",2,"NORTHERN WET MEADOW/CARR, SEDGE MEADOW TYPE"
"Alnus incana",8,"SOUTHERN RICH CONIFER SWAMP"
"Alnus incana",35,"SOUTHERN WET ASH SWAMP"
"Ambrosia artemisiifolia",2,"Dry Barrens Prairie Southern"
"Ambrosia artemisiifolia",5,"Dry Sand Gravel Prairie Southern"
"Ambrosia artemisiifolia",3,"SOUTHERN DRY PRAIRIE, DRY BEDROCK BLUFF PRAIRIE (SOUTHERN) TYPE"
"Ambrosia artemisiifolia",3,"SOUTHERN DRY SAVANNA, DRY SAND-GRAVEL OAK SAVANNA (SOUTHERN) TYPE"
"Ambrosia artemisiifolia",2,"SOUTHERN MESIC PRAIRIE"
"Ambrosia artemisiifolia",3,"SOUTHERN WET PRAIRIE"
"Ambrosia psilostachya",10,"Dry Barrens Oak Savanna (Southern)    UPs14a"
"Ambrosia psilostachya",8,"Dry Barrens Prairie Southern"
"Ambrosia psilostachya",7,"Dry Sand Gravel Prairie Southern"
"Ambrosia psilostachya",38,"SOUTHERN DRY PRAIRIE, DRY BEDROCK BLUFF PRAIRIE (SOUTHERN) TYPE"
"Ambrosia psilostachya",4,"SOUTHERN DRY SAVANNA, DRY SAND-GRAVEL OAK SAVANNA (SOUTHERN) TYPE"
