"","scientific_name","common_name","x3","physiognamy","mn_nativity","mnwi","rarity_status","id","cc","cc_range","x12","midpoint_cc","p","p_c","releveCode","releveyear","releveSite"
"1","Ulmus pumila","Siberian elm",0,"D","Introduced","UPL","0",NA,NA,">1-5%",3,3,0.24,0,"LBRP12022","2022","LBRP1"
"2","Rubus occidentalis","black raspberry",2,"D","Native",NA,"0",NA,NA,">1-5%",3,3,0.24,0.48,"LBRP12022","2022","LBRP1"
"3","Acer negundo","box elder",1,"D","Native","FACW-","0",NA,NA,">1-5%",3,3,0.24,0.24,"LBRP12022","2022","LBRP1"
"4","Fraxinus pennsylvanica","green ash",2,"D","Native","FACW","0",NA,NA,">0-1%",0.5,0.5,0.04,0.08,"LBRP12022","2022","LBRP1"
"5","Vitis riparia","wild grape",2,"C","Native","FACW-","0",NA,NA,">1-5%",3,3,0.24,0.48,"LBRP12022","2022","LBRP1"
"6","Solidago altissima","late goldenrod",1,"H","Native","FACU","0",NA,3,">25-50%",37.5,37.5,0.451807228915663,0.451807228915663,"LBRP12022","2022","LBRP1"
"7","Cirsium arvense","Canada thistle",0,"H","Introduced","FACU","0",NA,2,">5-25%",15,15,0.180722891566265,0,"LBRP12022","2022","LBRP1"
"8","Monarda fistulosa","wild bergamot",3,"H","Native","FACU","0",NA,2,">5-25%",15,15,0.180722891566265,0.542168674698795,"LBRP12022","2022","LBRP1"
"9","Verbena urticifolia","white vervain",6,"H","Native","FAC+","0",NA,1,">1-5%",3,3,0.036144578313253,0.216867469879518,"LBRP12022","2022","LBRP1"
"10","Baptisia lactea",NA,8,"H","Native","[FACU*]","0",NA,NA,">0-1%",0.5,0.5,0.00602409638554217,0.0481927710843374,"LBRP12022","2022","LBRP1"
"11","Asclepias syriaca","common milkweed",1,"H","Native","FACU","0",NA,NA,">1-5%",3,3,0.036144578313253,0.036144578313253,"LBRP12022","2022","LBRP1"
"12","Arctium minus","common burdock",0,"H","Introduced","FACU","0",NA,NA,">1-5%",3,3,0.036144578313253,0,"LBRP12022","2022","LBRP1"
"13","Symphyotrichum novae-angliae","New England aster",3,"H","Native","[FACW]","0",NA,NA,">1-5%",3,3,0.036144578313253,0.108433734939759,"LBRP12022","2022","LBRP1"
